"Title","Year","DOI","Link"
"RESEARCHING INFLUENCES OF LEARNER EXPERIENCE ON AR/VR ADOPTION - THE CASE OF VIETNAMESE UNIVERSITIES","2024","10.28945/5264","https://www.scopus.com/pages/publications/85193008149?origin=resultslist"
"A Comparative Analysis of Four Navigation Aids on User Performance in Single User Virtual Environment","2025","10.21015/vtse.v13i1.2007","https://www.scopus.com/pages/publications/105018719661?origin=resultslist"
"Controlling the Stage: A High-Level Control System for Virtual Audiences in Virtual Reality","2022","10.3389/frvir.2022.876433","https://www.scopus.com/pages/publications/85138064085?origin=resultslist"
"Does utilising augmented reality in learning process improve student’s cognitive processing? A cognitive absorption approach","2025","10.25304/rlt.v33.3504","https://www.scopus.com/pages/publications/105026710300?origin=resultslist"
"Review of Policy and Practice: VR, AI, Gamification, and Other Technologies for Green Curricula and Environmental Learning","2026","10.36941/jesr-2026-0337","https://www.scopus.com/pages/publications/105038853440?origin=resultslist"
"The Media Space of a Modern Library in the Context of Its Organizing by Virtual and Augmented Reality Technologies","2023","10.18178/ijiet.2023.13.4.1858","https://www.scopus.com/pages/publications/85153629738?origin=resultslist"
"Augmented Quarantine: An experiment in online teaching using augmented reality for customized design interventions","2021","10.52842/conf.ecaade.2021.2.095","https://www.scopus.com/pages/publications/85124736887?origin=resultslist"
"Digital Learning Technology Usage and Teaching Effectiveness of Business Educators in Nigeria’s South-South Universities","2023","10.5430/JCT.V12N6P89","https://www.scopus.com/pages/publications/85178281275?origin=resultslist"
"A Systematic Overview of Reviews of the Use of Immersive Virtual Reality in Higher Education","2023","10.18870/hlrc.v13i2.1430","https://www.scopus.com/pages/publications/85182905892?origin=resultslist"
"CNC MACHINE TOOL SAFETY FROM THE ASPECT OF HAZARD PERCEPTION BY OPERATING PERSONNEL","2022","10.17973/MMSJ.2022_10_2021123","https://www.scopus.com/pages/publications/85139087321?origin=resultslist"
"Digital visual tools and institutional policy in driving sustainable competitive advantage","2026","10.1007/s44217-026-01574-y","https://www.scopus.com/pages/publications/105041303188?origin=resultslist"
"The use of mobile augmented reality supported flipped learning model in general chemistry laboratory: Electrolysis experiment example","2025","10.29333/pr/15940","https://www.scopus.com/pages/publications/105022895800?origin=resultslist"
"Online Simulation Training of Child Sexual Abuse Interviews With Feedback Improves Interview Quality in Japanese University Students","2020","10.3389/fpsyg.2020.00998","https://www.scopus.com/pages/publications/85086221318?origin=resultslist"
"Development and testing of a model for explaining learning and learning-related factors in immersive virtual reality","2024","10.1016/j.cexr.2023.100048","https://www.scopus.com/pages/publications/85199780586?origin=resultslist"
"The siren's call: Exploring the impact of female voice pitch on male risk-taking behavior","2024","10.1016/j.paid.2024.112808","https://www.scopus.com/pages/publications/85198845774?origin=resultslist"
"Impact of Mixed Reality Presentation on STEM Engagement and Comprehension: A Pilot Study on Adult Scientists","2021","10.1007/s43683-021-00049-w","https://www.scopus.com/pages/publications/105041137068?origin=resultslist"
"Investigating Virtual Reality as a Resource to Enhance Early Childhood Initial Teacher Education: A Scoping Review","2026","10.1007/s10643-025-01942-7","https://www.scopus.com/pages/publications/105010608166?origin=resultslist"
